ID,Status,Name,Einzigartig,Kartenart,Kartentext-Planung,Kartentext,Flavourtext,Element,⚔️,🛡️,⭕️,Kartentyp,Kosten Aeris,Kosten Aqua,Kosten Ignis,Kosten Magica,Kosten Terra,Kosten Ungeprägt,Erstellt von,Artwork,Art Production,Glossar,Erstellungsdatum,Kritik,Letzte Änderung,Set Release,Zustimmung
17,Backup,Besungener Baum Carpinus,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Bezahle 2 Terra; Zerstöre einen Charakter (Einmal pro Spielzug),,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),0,85,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._ancient_mighty_tree_emerging_from_forest_low_camera_angle_7f601446-88af-4256-b974-e2fafe89e466.png,,,"August 27, 2023 8:50 PM",,"November 23, 2023 9:37 PM",,
18,Backup,Besungener Baum Aesculus,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Um den Effekt einer Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21) zu aktiveren kannst du anstelle sie als Tribut anzubieten 2 Terra bezahlen,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),0,55,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._ancient_mighty_fir_tree_emerging_from_forest_low_camera_a_a5e395e9-e34a-40b7-8f0d-031ee03a908b.png,,,"August 27, 2023 8:52 PM",,"November 23, 2023 9:37 PM",,
19,Backup,Schützender Lautenklang der Baumsängerinnen,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Bis zum Ende dieses Spielzugs: eine Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21) oder ein “Besungener Baum” ist von Karteneffekten unberührt und kann nicht zerstört werden,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),,,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._harp_forest_background_fantasy_concept_art_magic_the_gath_6fdf1d76-b208-415c-a121-d6e2b203165a.png,,,"August 27, 2023 8:55 PM",,"November 23, 2023 9:37 PM",,
20,Backup,Bestie aus dem Wald,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),ersch (https://www.notion.so/ersch-0e02f231f9ed4e67bd55eada1e50b09e?pvs=21)einen. Zerstöre einen Charakter auf dem Feld,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),50,10,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._angry_deer_in_forest_character_art_by_Titus_Lunter_and_Pa_62bf456d-1f94-45d7-806d-287efa848cbe.png,,,"September 3, 2023 9:09 PM",,"November 23, 2023 9:40 PM",,
21,Backup,Brauner Hirsch,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),45,35,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._deer_in_forest_by_Titus_Lunter_mtg_wallpaper_green_trees__28801dd7-fc87-4e3e-82fb-66578f78deb0.png,,,"September 3, 2023 9:11 PM",,"November 23, 2023 9:40 PM",,
22,Backup,Rasender Bär,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),60,55,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._bear_in_forest_character_art_by_Titus_Lunter_and_Painting_b2507883-ba0e-4488-8a47-d832fbb69409.png,,,"September 3, 2023 9:12 PM",,"November 23, 2023 9:40 PM",,
23,Backup,Erwachen des Waldes,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Falls du ein Terra Charakter kontrollierst. Füge deiner Hand bis zu 2 Wildtier (https://www.notion.so/Wildtier-566a219b7ef049469e5743f0e8b351de?pvs=21) Charaktere hinzu,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),,,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._sunrise_over_deep_forest_green_trees_birds_flying_in_the__e8a5f961-6899-4c1e-914f-198db1fe01b2.png,,,"September 3, 2023 9:13 PM",,"November 23, 2023 9:40 PM",,
24,Backup,Fröhliche Waldlichtung,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),Einmal pro Spielzug die Rufkosten für ein Wildtier vom Element Terra sind um bis zu 2 reduziert,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),,,2,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._light_flooded_forest_by_Titus_Lunter_mtg_wallpaper_green__a127a6e2-80d5-49c1-9846-6a3d749d224f.png,,,"September 3, 2023 9:16 PM",,"November 23, 2023 9:40 PM",,
25,Backup,Schildheilerin Elaria,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Wenn eine Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)einer Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)n, inklusive Schildheilerin Elaria (https://www.notion.so/Schildheilerin-Elaria-269751abdc774539bcb14942c029b97b?pvs=21), ersch (https://www.notion.so/ersch-0e02f231f9ed4e67bd55eada1e50b09e?pvs=21)eint, entdeck (https://www.notion.so/entdeck-bc14ca1b366b418397d988c1c99579f6?pvs=21)e einen Untitled (https://www.notion.so/7d85c5583f0144ad94a6d3532be61da0?pvs=21) aus Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)einem Deck (https://www.notion.so/Deck-12e336df2ea64e2194cabce2e4d93d61?pvs=21). Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u darfst die ersch (https://www.notion.so/ersch-0e02f231f9ed4e67bd55eada1e50b09e?pvs=21)ienene Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21) damit vers (https://www.notion.so/vers-6a91c6bfe98549699eed7a53885c2d9b?pvs=21)ehen. Andernfalls misches ihn inUntitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)ein Deck (https://www.notion.so/Deck-12e336df2ea64e2194cabce2e4d93d61?pvs=21).",,,,15,15,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1150242763217051790/itschotsch_water_mage_woman_casting_a_blue_magical_shield_in_ac_2555d53b-dd56-42c0-b2e0-87c7d1ca6067.png,,,"September 9, 2023 1:45 PM",,"November 23, 2023 9:40 PM",,
26,Backup,Ritual des Ewigen Urquell,No,Untitled (https://www.notion.so/eff2926a20744f63b63ea77a6d71edd9?pvs=21),"1. Kontrolliere mindestens 3 Aqua (https://www.notion.so/Aqua-8c3b1bb2cc364f6ba274d390ac8d3800?pvs=21)-Untitled (https://www.notion.so/2b9adcd059614612bb0133aece543b8a?pvs=21)n → zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)e 1 Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21).
2. zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)e in 1 Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) mehrere Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n → zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)e 1 Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) und spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)e eine zusätzliche Aqua (https://www.notion.so/Aqua-8c3b1bb2cc364f6ba274d390ac8d3800?pvs=21)-Untitled (https://www.notion.so/2b9adcd059614612bb0133aece543b8a?pvs=21).
3. Lasse in 1 Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n für GesamtElementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) von mindestens 7 Aqua (https://www.notion.so/Aqua-8c3b1bb2cc364f6ba274d390ac8d3800?pvs=21) ersch (https://www.notion.so/ersch-0e02f231f9ed4e67bd55eada1e50b09e?pvs=21)einen → such (https://www.notion.so/such-97002fcad18b4a7ba59c8706c1742c2f?pvs=21)e und spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)e Ewiger Urquell (https://www.notion.so/Ewiger-Urquell-c3c61448100e4c8ab27ce089b7876bcb?pvs=21), ohne Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) zu zahlen.",,,,0,50,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1151133009492312135/itschotsch_beautiful_magical_ritual_around_a_water_source_water_b7bfd1e5-7512-42ab-bb63-23f7e4ac7de6.png,,,"September 9, 2023 1:48 PM",,"November 23, 2023 9:40 PM",,
28,Backup,Fluss der Neugierde,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),"zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)e zwei statt einer Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21) zu Beginn Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)eines Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21)s. spiele die billigere, ohne die Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) zu bezahlen.",,,,0,20,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1151090506709860352/itschotsch_beautiful_magic_glowing_blue_river_beautiful_forest__49331638-eac8-4a85-b4d4-4c0a99ed32f3.png,,,"September 9, 2023 1:52 PM",,"November 23, 2023 9:40 PM",,
29,Backup,Steter Tropfen,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e alle Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21)n mit Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) $x$. Falls dabei Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21)n zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t werden, spiele Steter Tropfen (https://www.notion.so/Steter-Tropfen-97c7af5d6e1d40909e7753429a2cdb29?pvs=21) mit $x+1$. Beginne mit $x=1$.",,,,,,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1150461074362081372/itschotsch_close-up_macro_shot_of_water_drop_falling_onto_rock__08273bf1-5e9c-422e-8aa9-9d458b23866d.png,,,"September 9, 2023 1:52 PM",,"November 23, 2023 9:40 PM",,
30,Backup,Sintflut,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e alle Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21)n auf dem Schlachtfeld (https://www.notion.so/Schlachtfeld-00d6e8bce1a7450e917e836d0bf3b24e?pvs=21). Alle Untitled (https://www.notion.so/8f9b118372384c41817b4234398dfa75?pvs=21) zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)en eine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21).,,,,,,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1150457937744109719/itschotsch_massive_dramatic_rushing_torrential_flood_foamy_wate_d3560762-81e5-4436-8fdc-2725fdbfa000.png,,,"September 9, 2023 1:55 PM",,"November 23, 2023 9:40 PM",,
31,Backup,Laminarströmung,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),"Wenn die vers (https://www.notion.so/vers-6a91c6bfe98549699eed7a53885c2d9b?pvs=21)ehene Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21) Schaden (https://www.notion.so/Schaden-9a09537dfc724c1b887d4dbfdc822726?pvs=21) erleidet, wird stattdessen die Laminarströmung (https://www.notion.so/Laminarstr-mung-f0bf24bbe1a649bcafa939cf668fb9f8?pvs=21) zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t.",,,,,,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1150255268085633085/itschotsch_transparent_water_sphere_over_the_ocean_magical_forc_e8cea2ae-5496-4ae3-8b00-9d15c3596864.png,,,"September 9, 2023 1:56 PM",,"November 23, 2023 9:40 PM",,
32,Backup,Fluss der Zeit,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"Mache einen zweiten Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) direkt im Anschluss, ohne Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)eine Untitled (https://www.notion.so/2b9adcd059614612bb0133aece543b8a?pvs=21)n zu regenerier (https://www.notion.so/regenerier-79d2d18c168c41d683999d2bd25fc7c9?pvs=21)en.",,,,,,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1151095171702861904/itschotsch_hourglass_in_the_center_beautiful_magic_glowing_blue_0a880f4f-057f-4749-a56b-a34b3c130a8a.png,,,"September 9, 2023 1:59 PM",,"April 26, 2024 10:34 AM",,
33,Backup,Versiegter Brunnen,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),"vers (https://www.notion.so/vers-6a91c6bfe98549699eed7a53885c2d9b?pvs=21)ieh einen beliebigen Untitled (https://www.notion.so/8f9b118372384c41817b4234398dfa75?pvs=21) mit Versiegter Brunnen (https://www.notion.so/Versiegter-Brunnen-19665096f59e4daa90d45da2ca4cd6db?pvs=21). Solange kann der Untitled (https://www.notion.so/8f9b118372384c41817b4234398dfa75?pvs=21) keine Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)en. Am Ende jeden Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21)es darf der vers (https://www.notion.so/vers-6a91c6bfe98549699eed7a53885c2d9b?pvs=21)ehene Untitled (https://www.notion.so/8f9b118372384c41817b4234398dfa75?pvs=21) 1 Untitled (https://www.notion.so/710cb303190e42c187c5b6603253aa7a?pvs=21) bezahlen, um Versiegter Brunnen (https://www.notion.so/Versiegter-Brunnen-19665096f59e4daa90d45da2ca4cd6db?pvs=21) zu zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)en, oder 1 beliebiges anderes Untitled (https://www.notion.so/0c6eab460133447db29c66c512586863?pvs=21) bezahlen, um einen anderen Untitled (https://www.notion.so/8f9b118372384c41817b4234398dfa75?pvs=21) damit zu vers (https://www.notion.so/vers-6a91c6bfe98549699eed7a53885c2d9b?pvs=21)ehen.",,,,0,20,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1151096425120288850/itschotsch_dried_up_well_fountain_cracks_drought_bright_colors__a3ab8e2b-8f75-4b32-85bf-e8ee0a87f904.png,,,"September 9, 2023 2:14 PM",,"November 23, 2023 9:40 PM",,
34,Backup,Dürre,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),"sofort (https://www.notion.so/sofort-9c56f076fccf4157b07459dd557d86d7?pvs=21) spielbar.
Alle Untitled (https://www.notion.so/8f9b118372384c41817b4234398dfa75?pvs=21) werfen ihre Hand (https://www.notion.so/Hand-02eed85235d546fc8cd87be30bc8b7c8?pvs=21) ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21) und zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)en 3 Untitled (https://www.notion.so/6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n.",,,,,,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1151107286249525319/itschotsch_wide_dried_up_land_cracks_drought_bright_colors_digi_a87fab1f-accc-4cf0-be42-2ad06ad042b8.png,,,"September 9, 2023 2:15 PM",,"November 23, 2023 9:39 PM",,
35,Backup,Ewiger Urquell,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),Untitled (https://www.notion.so/b1303df2f24d4014b6316e53f3e74243?pvs=21)u hast keine maximale Hand (https://www.notion.so/Hand-02eed85235d546fc8cd87be30bc8b7c8?pvs=21)kartenzahl.,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),0,50,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1150260613566713866/itschotsch_beautiful_water_source_in_the_forest_spring_summer_d_e8f108bb-eea7-4aa7-acf6-c4a8c377fdec.png,,,"September 9, 2023 2:16 PM",,"November 23, 2023 9:37 PM",,
36,Backup,Jungbrunnen,No,Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),"Wenn der Jungbrunnen (https://www.notion.so/Jungbrunnen-09524568d6ff4fa4bf04ac56bcb0fefd?pvs=21) noch leb (https://www.notion.so/leb-692df7818193496192e870be274ab13b?pvs=21)t, nachdem er verteidig (https://www.notion.so/verteidig-839e6f9d7cbd46cebaa3c27a3d39a179?pvs=21)t, vers (https://www.notion.so/vers-6a91c6bfe98549699eed7a53885c2d9b?pvs=21)ieh eine andere Untitled (https://www.notion.so/bafefdffb74944b09dc4f9de10183b2d?pvs=21) mit einen Untitled (https://www.notion.so/7d85c5583f0144ad94a6d3532be61da0?pvs=21), ohne Elementarkosten (https://www.notion.so/Elementarkosten-fea3906dd57841dfb44fe508414a2ce9?pvs=21) zu zahlen.",,,,0,40,,,,,,,,,Jan Appel,,,,"September 9, 2023 2:18 PM",,"November 23, 2023 9:37 PM",,
37,Backup,Speerfischer Albert,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),-,,,,30,20,,,,,,,,,Jan Appel,"Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/00034-370775683.png, https://cdn.discordapp.com/attachments/1140326119963377664/1150245062719049728/itschotsch_Human_Fisherman_fishing_standing_in_a_river_lake_by__532f5aa5-0c39-4852-a483-985dfe03af31.png",,,"September 9, 2023 2:27 PM",,"November 23, 2023 9:37 PM",,
38,Backup,Speerfischer Hans,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),-,,,,20,30,,,,,,,,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1150245038140436481/itschotsch_Human_Fisherman_fishing_standing_in_a_river_lake_by__8f931dee-201d-4b48-8b87-a12aa4e5a216.png,,,"September 9, 2023 2:29 PM",,"November 23, 2023 9:37 PM",,
