Kartenart,Name,Kartentext,Element,Kosten,⚔️,🛡️,⭕️,Kartentyp,Status,ID,Flavourtext,Created by,Artwork,Art Production,Decklist,Glossar,Kosten Aeris,Kosten Aqua,Kosten Ignis,Kosten Magica,Kosten Terra,Kosten Ungeprägt,Kritik,Zustimmung
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Aqua-Duellant,"Darf nur Charaktere angreifen, Muss in Angriffsposition liegen",Aqua (https://www.notion.so/Aqua-8c3b1bb2cc364f6ba274d390ac8d3800?pvs=21),2,35,5,,,Idee,265,,Slain,,,,,,,,,,,,
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Aqua-Kraftkugel,"Sofort spielbar
Verhindere allen Schaden, der einem Charakter in dieser Phase zugefügt wird.",Aqua (https://www.notion.so/Aqua-8c3b1bb2cc364f6ba274d390ac8d3800?pvs=21),"2,A,",,,,,Neu,168,,Slain,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/168.png,,,,,1,,,,1,,C. Playtest
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Aramis von Rabenstein,"Einzigartig
Bannkreis 2
Einmal pro Runde darfst du einen Bannkreis von Aramis von Rabenstein auf einen anderen Charakter verschieben.",Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),"4,T,T,",30/30,30/30,,,Neu,453,,Gut Christian,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/422e1918f14c-Aramis_2.jpg,Aramis von Rabenstein (https://www.notion.so/Aramis-von-Rabenstein-c8a0500bfd9b431e872c1373de973798?pvs=21),,,,,,,2,4,,C. Playtest
Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),Arena der Waffenmeister,"Solange die Arena der Waffenmeister im Spiel ist, erhält kein Waffenmeister Kampfschaden",Ungeprägt (https://www.notion.so/Ungepr-gt-2fd48ac2c29b47108245679f33342673?pvs=21),6,,,1,,Idee,253,,Slain,,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Aselhelm von der schwarzen Lilie,"Einzigartig, Krieger, Wolfswacht
Kann keine Magier angreifen
Wenn Aselhelm von der schwarzen Lilie angreift, erhalten alle anderen Angreifer +10 Angriff",Ignis (https://www.notion.so/Ignis-ca68b053cd74404a8fa85893e505b753?pvs=21),5,35,20,,,Idee,277,,Slain,,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Assasine,Unblockbar,Magica (https://www.notion.so/Magica-ba80d98941c8405d875cb3e6fdb6bf34?pvs=21),"2,M,M,",35/25,35/25,,,Backup,385,,Gut Christian,,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Atlas der Wandernde,Schildbrecher,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),"5,T,T,",60/60,60/60,,,Neu,331,,Slain,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/331.png,,Untitled (https://www.notion.so/3db71e300c1c4e5abd4a33ecd243327f?pvs=21),,,,,,2,5,,C. Playtest
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Auffrischen,Ziehe zwei Karten.,Ungeprägt (https://www.notion.so/Ungepr-gt-2fd48ac2c29b47108245679f33342673?pvs=21),3,,,,,Playtest,361,,Gut Christian,,,,,,,,,,3,,
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Auffrischung,Du darfst 3 Karten ziehen,Ungeprägt (https://www.notion.so/Ungepr-gt-2fd48ac2c29b47108245679f33342673?pvs=21),3,,,,,Backup,160,,Slain,,,,,,,,,,,,
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Auflodern,"zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21) eine Karte (https://www.notion.so/Karte-6ddef2a437ec4b918cdc8a75c9262128?pvs=21). Wenn sie zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten hat, wiederhole den Effekt.",,2,,,,,Backup,108,,Tim,,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Aurelia, die Lichtverpflichtete",Bannkreis 1,Magica (https://www.notion.so/Magica-ba80d98941c8405d875cb3e6fdb6bf34?pvs=21),"5,M,M,",50/60,50/60,,,Neu,323,,Slain,,,,,,,,2,,5,,C. Playtest
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Azathoth Erwacht,"Ermittle zufällig einen Charakter oder Manifestation für beide Spieler.
Zerstöre alle anderen Charaktere und Manifestationen.","Dunkelheit (https://www.notion.so/Dunkelheit-d35d25d325c743149e1776eb8ab81078?pvs=21), Ungeprägt (https://www.notion.so/Ungepr-gt-2fd48ac2c29b47108245679f33342673?pvs=21)",6,,,,,Experiment,436,,Gut Christian,,,,,,,,,,6,,
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Azathoth Träumt,"Sofort Spielbar
Für jeden Spieler, zerstöre einen zufälligen Charakter oder Manifestation.","Dunkelheit (https://www.notion.so/Dunkelheit-d35d25d325c743149e1776eb8ab81078?pvs=21), Ungeprägt (https://www.notion.so/Ungepr-gt-2fd48ac2c29b47108245679f33342673?pvs=21)",3,,,,,Experiment,437,,Gut Christian,,,,,,,,,,3,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Barde,Nachschub,Ignis (https://www.notion.so/Ignis-ca68b053cd74404a8fa85893e505b753?pvs=21),"I,",5/5,5/5,,,Playtest,356,,Gut Christian,,,,Nachschub (https://www.notion.so/Nachschub-377ac9190a0e45a6b349352546d0eeca?pvs=21),,,1,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Baumgeist,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),"4,T,T,",60/60,60/60,,,Playtest,354,,Gut Christian,,,,,,,,,2,4,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Baumsängerin Abies,Falls diese Karte auf den Friedhof gelegt wird; Rufe ein “Besungener Baum” von deinem Friedhof (Einmal pro Spielzug),Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),4,35,20,,,Backup,13,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_barbarian_sorceress_elf_singing_red_hair_ma_a9278542-fe50-46f4-be5f-1eed3f953a60.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Baumsängerin Avellana,"Falls diese Karte vom Feld auf den Friedhof gelegt wird, beschwöre eine Baumsängerin aus dem Deck",Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),3,20,15,,,Backup,135,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_sorceress_singing_magical_scenery_green_elv_67ed0c9c-daad-419d-8679-ece89896bc39.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Baumsängerin Betula,Tribute diese Karte; Rufe ein [7] oder weniger “Besungener Baum” aus dem Deck.,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),4,35,30,,,Backup,8,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_sorceress_singing_black_hair_magical_scener_4c55d035-e200-44b0-aee3-0375ab0d96d7.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Baumsängerin Larix,Tribute diese Karte; Rufe ein [6] oder weniger “Besungener Baum” aus dem Deck.,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),4,30,30,,,Backup,15,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_sorceress_singing_brown_hair_magical_scener_60872445-330f-4be8-bb49-b4ff54b07aba.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Baumsängerin Sativa,"Falls diese Karte vom Feld auf den Friedhof gelegt wird, füge eine Baumsängerin deiner Hand hinzu",Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),2,10,10,,,Backup,134,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_barbarian_sorceress_elf_singing_magical_sce_a809f36c-eb79-44e6-984c-c3c29f2f26a6.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Baumsängerin Tilia,Tribute diese Karte; Rufe ein [8] oder weniger “Besungener Baum” aus dem Deck.,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),5,45,30,,,Backup,12,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_barbarian_sorceress_elf_singing_red_hair_ma_40f3759a-a129-42cc-b94a-65bb78a7ffe5.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Beolf von der Wolfswacht,"Einzigartig, Krieger, Wolfswacht
Kann keine Magier angreifen.
Beolf von der Wolfswacht erhält +15 Angriff, wenn er mit einem anderem Charakter das selbe Ziel angreift",Aqua (https://www.notion.so/Aqua-8c3b1bb2cc364f6ba274d390ac8d3800?pvs=21),4,20,30,,,Idee,278,,Slain,,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Bestie aus dem Wald,ersch (https://www.notion.so/ersch-0e02f231f9ed4e67bd55eada1e50b09e?pvs=21)einen. Zerstöre einen Charakter auf dem Feld,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),7,50,10,,,Backup,20,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._angry_deer_in_forest_character_art_by_Titus_Lunter_and_Pa_62bf456d-1f94-45d7-806d-287efa848cbe.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Besungener Baum Aesculus,Um den Effekt einer Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21) zu aktiveren kannst du anstelle sie als Tribut anzubieten 2 Terra bezahlen,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),6,0,55,,,Backup,18,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._ancient_mighty_fir_tree_emerging_from_forest_low_camera_a_a5e395e9-e34a-40b7-8f0d-031ee03a908b.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Besungener Baum Carpinus,Bezahle 2 Terra; Zerstöre einen Charakter (Einmal pro Spielzug),Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),10,0,85,,,Backup,17,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._ancient_mighty_tree_emerging_from_forest_low_camera_angle_7f601446-88af-4256-b974-e2fafe89e466.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Besungener Baum Fagus,Alle verbündeten Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21)  und Wildtier (https://www.notion.so/Wildtier-566a219b7ef049469e5743f0e8b351de?pvs=21)  Kosten 1 Element weniger um sie zu rufen,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),6,0,55,,,Backup,16,,Timon,,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Besungener Baum Fraxinus,"Bezahle ein Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21); entdeck (https://www.notion.so/entdeck-bc14ca1b366b418397d988c1c99579f6?pvs=21)e  ein Wildtier (https://www.notion.so/Wildtier-566a219b7ef049469e5743f0e8b351de?pvs=21) ",Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),7,0,55,,,Backup,123,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._ancient_mighty_fir_tree_emerging_from_forest_low_camera_a_85ea79f9-ba5f-46ac-8e75-def2e0ae63d2.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Besungener Baum Giganteum,einmal in deinem Spielzug annulliere ein Effekt deines Gegners bis zum Ende des nächsten Spielzugs,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),8,0,55,,,Backup,125,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._ancient_mighty_mournlind_tree_emerging_from_forest_low_ca_baaf228c-2d4d-4ae3-be59-d55f55e8e82c.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Besungener Baum Juglans,Einmal pro Spielzug wenn ein Charakter zerstört wird du kannst eine Karte ziehen,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),7,0,55,,,Backup,120,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._big_tree_emerging_from_forest_low_camera_angle_beautiful__87b586e7-35df-4c99-a5cc-4473a4b6274c.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Besungener Baum Quercus,Ein anderer Charakter vom Element Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21)   darf zweimal Angriffe gleichzeitig blocken,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),6,0,55,,,Backup,122,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._ancient_mighty_tree_emerging_from_forest_low_camera_angle_3f9a2dba-8261-4331-badf-44551b689d80.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Besungener Baum Sylvestris,"Alle deine Terra Karten erhalten + 20 Angriff und Verteidigung ",Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),6,0,55,,,Backup,124,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._ancient_mighty_tree_emerging_from_forest_low_camera_angle_d11aa3a6-0fd5-4296-8e8c-1ce2c1240cda.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Besungener Baum Ulmus,"eine Baumsängerin oder Wildtier (https://www.notion.so/Wildtier-566a219b7ef049469e5743f0e8b351de?pvs=21)  kann einen zweiten Angriff deklarieren ",Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),7,0,55,,,Backup,126,,Timon,,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Bewohner von Yith,"Monster
Wen dieser Charakter das Schlachtfeld betritt übernimm die Kontrolle eines Charakters, den du nicht kontrollierst bis zum ende des Zuges. Der Charakter erhält eile und darf nur Charaktere angreifen.","Dunkelheit (https://www.notion.so/Dunkelheit-d35d25d325c743149e1776eb8ab81078?pvs=21), Ungeprägt (https://www.notion.so/Ungepr-gt-2fd48ac2c29b47108245679f33342673?pvs=21)",3,5/5,5/5,,,Experiment,430,,Gut Christian,,,,,,,,,,3,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Bogenschütze,"Nachdem alle Angriffsziele angesagt wurden und dieser Charakter nicht angreift, fügt der Bogenschütze einem feindlichem Charakter deiner Wahl 5 Schaden zu.",Aeris (https://www.notion.so/Aeris-5996f3899d7740fc809fe30a652d20c6?pvs=21),"1,E,",15/20,15/20,,,Playtest,382,,Gut Christian,,,,,1,,,,,1,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Boro Mardar,"Elementarvolk, Boro Madar",Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),3,20,35,,,Idee,234,,Slain,,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Brandeisenschmied,"Immer wenn Brandeisenschmied (https://www.notion.so/Brandeisenschmied-195f78aa5bbe42e6b22ce3371b769d1c?pvs=21) verteidig (https://www.notion.so/verteidig-839e6f9d7cbd46cebaa3c27a3d39a179?pvs=21)t, muss ein nicht-gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)er Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21)  gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) werden. Wenn alle Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) sind, kann Brandeisenschmied (https://www.notion.so/Brandeisenschmied-195f78aa5bbe42e6b22ce3371b769d1c?pvs=21) nicht verteidig (https://www.notion.so/verteidig-839e6f9d7cbd46cebaa3c27a3d39a179?pvs=21)en. ",,3,20,40,,,Backup,99,,Tim,,,,,,,,,,,,
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Brandmarkender Eid,"Alle D (https://www.notion.so/D-b1303df2f24d4014b6316e53f3e74243?pvs=21)eine Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21) werden gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21) (Wenn sie zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)t werden, zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21)t der Zerstörende eine Karte (https://www.notion.so/Karte-6ddef2a437ec4b918cdc8a75c9262128?pvs=21)). zieh (https://www.notion.so/zieh-b15d78fb02034a8f94b549601fe794f5?pvs=21) eine Karte (https://www.notion.so/Karte-6ddef2a437ec4b918cdc8a75c9262128?pvs=21) für jeden gebrandmarkt (https://www.notion.so/gebrandmarkt-544e31bf95b349abaf97ade09ca624bc?pvs=21)en Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21). ",,3,,,,,Backup,91,,Tim,,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Brauner Hirsch,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),4,45,35,,,Backup,21,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._deer_in_forest_by_Titus_Lunter_mtg_wallpaper_green_trees__28801dd7-fc87-4e3e-82fb-66578f78deb0.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Brauner Stummfisch,sofort (https://www.notion.so/sofort-9c56f076fccf4157b07459dd557d86d7?pvs=21) spiel (https://www.notion.so/spiel-b5c878a58a374f5282838f3bb3b69799?pvs=21)bar.,Aqua (https://www.notion.so/Aqua-8c3b1bb2cc364f6ba274d390ac8d3800?pvs=21),1,10,0,,,Backup,62,,Jan Appel,https://cdn.discordapp.com/attachments/1140326119963377664/1150250922245636188/itschotsch_fish_swimming_underwater_gray_brown_codfish_by_peter_3396e464-daf3-4956-b786-9ac39e584520.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Brown Jenkins,"Monster
Einzigartig
Nachschub","Dunkelheit (https://www.notion.so/Dunkelheit-d35d25d325c743149e1776eb8ab81078?pvs=21), Ungeprägt (https://www.notion.so/Ungepr-gt-2fd48ac2c29b47108245679f33342673?pvs=21)",2,5/5,5/5,,,Experiment,429,,Gut Christian,,,,,,,,,,2,,
